Priority Weighted,Priority,Preemptive
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,65,5,2,2,704,638,0,703
102,35,3,7,7,41,0,0,35
103,40,8,34,2399,2438,2365,2365,2405
104,62,1,62,62,123,0,0,62
105,42,1,74,124,165,50,50,92
106,52,7,93,2177,2228,2084,2084,2136
107,70,1,102,166,235,64,64,134
108,89,5,160,705,877,629,545,718
109,62,5,193,878,939,685,685,747
110,87,3,218,236,401,97,18,184
111,28,2,237,237,264,0,0,28
112,22,2,271,271,292,0,0,22
113,29,2,276,293,321,17,17,46
114,95,6,306,1534,1689,1289,1228,1384
115,92,6,332,1690,1781,1358,1358,1450
116,41,4,352,402,442,50,50,91
117,51,5,401,940,1372,921,539,972
118,64,6,444,1782,1845,1338,1338,1402
119,21,4,466,466,687,201,0,222
120,93,3,473,473,592,27,0,120
121,27,2,524,524,550,0,0,27
122,10,6,536,1846,1855,1310,1310,1320
123,81,0,598,598,678,0,0,81
124,68,8,655,2439,2506,1784,1784,1852
125,30,4,710,710,739,0,0,30
126,82,6,756,1856,1937,1100,1100,1182
127,54,2,758,758,811,0,0,54
128,13,6,800,1938,1950,1138,1138,1151
129,40,6,851,1951,1990,1100,1100,1140
130,41,9,900,2523,2563,1623,1623,1664
131,39,6,912,1991,2029,1079,1079,1118
132,43,5,980,1373,1496,474,393,517
133,67,3,989,989,1274,219,0,286
134,51,6,1007,2030,2080,1023,1023,1074
135,92,2,1055,1055,1146,0,0,92
136,63,2,1111,1147,1264,91,36,154
137,5,7,1113,2229,2233,1116,1116,1121
138,69,7,1124,2234,2302,1110,1110,1179
139,58,4,1136,1275,1370,177,139,235
140,55,0,1188,1188,1242,0,0,55
141,8,8,1237,2507,2514,1270,1270,1278
142,37,5,1255,1497,1533,242,242,279
143,9,2,1259,1265,1273,6,6,15
144,38,1,1317,1317,1354,0,0,38
145,93,6,1354,2081,2173,727,727,820
146,81,3,1397,1397,1477,0,0,81
147,3,6,1403,2174,2176,771,771,774
148,8,8,1458,2515,2522,1057,1057,1065
149,96,7,1521,2303,2398,782,782,878
150,61,5,1569,1569,1629,0,0,61
,,,,,,,,
,,,,,Min,0,0,15
,,,,,Mean,600.24,562.94,651.48
,,,,,Max,2365,2365,2405
,,,,,StdDev,641.58,653.63,640.87
