Priority Weighted,Priority,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,65,5,2,2,66,0,0,65
102,35,3,7,269,303,262,262,297
103,40,8,34,2399,2438,2365,2365,2405
104,62,1,62,67,128,5,5,67
105,42,1,74,129,170,55,55,97
106,52,7,93,2177,2228,2084,2084,2136
107,70,1,102,171,240,69,69,139
108,89,5,160,705,793,545,545,634
109,62,5,193,878,939,685,685,747
110,87,3,218,355,441,137,137,224
111,28,2,237,241,268,4,4,32
112,22,2,271,304,325,33,33,55
113,29,2,276,326,354,50,50,79
114,95,6,306,1534,1628,1228,1228,1323
115,92,6,332,1690,1781,1358,1358,1450
116,41,4,352,442,482,90,90,131
117,51,5,401,940,990,539,539,590
118,64,6,444,1782,1845,1338,1338,1402
119,21,4,466,684,704,218,218,239
120,93,3,473,483,575,10,10,103
121,27,2,524,576,602,52,52,79
122,10,6,536,1846,1855,1310,1310,1320
123,81,0,598,603,683,5,5,86
124,68,8,655,2439,2506,1784,1784,1852
125,30,4,710,848,877,138,138,168
126,82,6,756,1856,1937,1100,1100,1182
127,54,2,758,794,847,36,36,90
128,13,6,800,1938,1950,1138,1138,1151
129,40,6,851,1951,1990,1100,1100,1140
130,41,9,900,2523,2563,1623,1623,1664
131,39,6,912,1991,2029,1079,1079,1118
132,43,5,980,1373,1415,393,393,436
133,67,3,989,991,1057,2,2,69
134,51,6,1007,2030,2080,1023,1023,1074
135,92,2,1055,1058,1149,3,3,95
136,63,2,1111,1150,1212,39,39,102
137,5,7,1113,2229,2233,1116,1116,1121
138,69,7,1124,2234,2302,1110,1110,1179
139,58,4,1136,1277,1334,141,141,199
140,55,0,1188,1213,1267,25,25,80
141,8,8,1237,2507,2514,1270,1270,1278
142,37,5,1255,1497,1533,242,242,279
143,9,2,1259,1268,1276,9,9,18
144,38,1,1317,1335,1372,18,18,56
145,93,6,1354,2081,2173,727,727,820
146,81,3,1397,1416,1496,19,19,100
147,3,6,1403,2174,2176,771,771,774
148,8,8,1458,2515,2522,1057,1057,1065
149,96,7,1521,2303,2398,782,782,878
150,61,5,1569,1629,1689,60,60,121
,,,,,,,,
,,,,,Min,0,0,18
,,,,,Mean,584.94,584.94,636.18
,,,,,Max,2365,2365,2405
,,,,,StdDev,636.41,636.41,634.82
