Priority Weighted,Priority,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
251,16,6,20,20,35,0,0,16
252,49,7,80,80,128,0,0,49
253,35,1,101,129,163,28,28,63
254,82,5,155,164,245,9,9,91
255,20,3,213,246,265,33,33,53
256,43,6,282,282,324,0,0,43
257,25,8,322,325,349,3,3,28
258,76,4,342,350,425,8,8,84
259,55,2,360,426,480,66,66,121
260,84,2,415,496,579,81,81,165
261,15,1,467,481,495,14,14,29
262,20,0,525,580,599,55,55,75
263,11,3,558,600,610,42,42,53
264,74,7,584,611,684,27,27,101
265,34,2,615,685,718,70,70,104
266,20,5,652,719,738,67,67,87
267,84,6,714,739,822,25,25,109
268,38,8,757,2232,2269,1475,1475,1513
269,86,1,781,823,908,42,42,128
270,52,7,829,1119,1170,290,290,342
271,55,1,877,909,963,32,32,87
272,65,6,912,964,1028,52,52,117
273,36,6,946,1078,1113,132,132,168
274,32,2,984,1046,1077,62,62,94
275,17,0,1008,1029,1045,21,21,38
276,80,7,1048,1171,1250,123,123,203
277,58,7,1050,1942,1999,892,892,950
278,5,1,1104,1114,1118,10,10,15
279,4,7,1170,2000,2003,830,830,834
280,99,6,1227,1251,1349,24,24,123
281,44,7,1229,2004,2047,775,775,819
282,1,8,1253,2270,2270,1017,1017,1018
283,86,2,1310,1350,1435,40,40,126
284,33,5,1371,1792,1824,421,421,454
285,36,7,1382,2048,2083,666,666,702
286,73,1,1413,1436,1508,23,23,96
287,10,5,1443,1825,1834,382,382,392
288,14,7,1460,2084,2097,624,624,638
289,64,7,1489,2098,2161,609,609,673
290,91,2,1499,1509,1599,10,10,101
291,1,1,1515,1600,1600,85,85,86
292,70,7,1548,2162,2231,614,614,684
293,95,2,1570,1601,1695,31,31,126
294,35,6,1614,1835,1869,221,221,256
295,29,3,1673,1696,1724,23,23,52
296,22,3,1685,1725,1746,40,40,62
297,12,1,1729,1747,1758,18,18,30
298,33,3,1734,1759,1791,25,25,58
299,1,9,1800,2271,2271,471,471,472
300,72,6,1832,1870,1941,38,38,110
,,,,,,,,
,,,,,Min,0,0,15
,,,,,Mean,212.92,212.92,256.76
,,,,,Max,1475,1475,1513
,,,,,StdDev,331.16,331.16,326.29
